Company Name,Symbol
HDFC Bank Ltd.,HDFCBANK
Hathway Cable & Datacom Ltd.,HATHWAY
Havell's India Ltd.,HAVELLS
Hero MotoCorp Ltd.,HEROMOTOCO
Hexaware Technologies Ltd.,HEXAWARE
Hindalco Industries Ltd.,HINDALCO
Hindustan Petroleum Corporation Ltd.,HINDPETRO
Hindustan Unilever Ltd.,HINDUNILVR
Housing Development Finance Corporation Ltd.,HDFC
Housing Development and Infrastructure Ltd.,HDIL
I T C Ltd.,ITC
ICICI Bank Ltd.,ICICIBANK
IDBI Bank Ltd.,IDBI
IDFC Ltd.,IDFC
IFCI Ltd.,IFCI
IRB Infrastructure Developers Ltd.,IRB
IVRCL Ltd.,IVRCLINFRA
Idea Cellular Ltd.,IDEA
India Cements Ltd.,INDIACEM
India Infoline Ltd.,INDIAINFO
Indiabulls Financial Services Ltd.,INDIABULLS
Indiabulls Real Estate Ltd.,IBREALEST
Indian Bank,INDIANB
Indian Hotels Co. Ltd.,INDHOTEL
Indian Overseas Bank ,IOB
Indraprastha Gas Ltd.,IGL
IndusInd Bank Ltd.,INDUSINDBK
Infosys Ltd.,INFY
Ipca Laboratories Ltd.,IPCALAB
JSW Energy Ltd.,JSWENERGY
JSW Steel Ltd.,JSWSTEEL
Jain Irrigation Systems Ltd.,JISLJALEQS
Jaiprakash Associates Ltd.,JPASSOCIAT
Jaiprakash Power Ventures Ltd.,JPPOWER
Jammu & Kashmir Bank Ltd.,J&KBANK
Jindal Saw Ltd.,JINDALSAW
Jindal Steel & Power Ltd.,JINDALSTEL
Jubilant Foodworks Ltd.,JUBLFOOD
Karnataka Bank Ltd.,KTKBANK
Karur Vysya Bank Ltd.,KARURVYSYA
Kotak Mahindra Bank Ltd.,KOTAKBANK
LIC Housing Finance Ltd.,LICHSGFIN
Lanco Infratech Ltd.,LITL
Larsen & Toubro Ltd.,LT
Lupin Ltd.,LUPIN
MRF Ltd.,MRF
Madras Cements Ltd.,MADRASCEM
Mahindra & Mahindra Financial Services Ltd.,M&MFIN
Mahindra & Mahindra Ltd.,M&M
Mangalore Refinery & Petrochemicals Ltd.,MRPL
Marico Ltd.,MARICO
Maruti Suzuki India Ltd.,MARUTI
Max India Ltd.,MAX
McLeod Russel India Ltd.,MCLEODRUSS
MindTree Ltd.,MINDTREE
Motherson Sumi Systems Ltd.,MOTHERSUMI
MphasiS Ltd.,MPHASIS
NHPC Ltd.,NHPC
NTPC Ltd.,NTPC
Oil & Natural Gas Corporation Ltd.,ONGC
Oil India Ltd.,OIL
Opto Circuits (I) Ltd.,OPTOCIRCUI
Oracle Financial Services Software Ltd.,OFSS
Oriental Bank of Commerce,ORIENTBANK
Orissa Min Dev Co Ltd.,ORISSAMINE
PTC India Ltd.,PTC
Pantaloon Retail (India) Ltd.,PANTALOONR
Petronet LNG Ltd.,PETRONET
Pipavav Defence and Offshore Engineering Company Ltd.,PIPAVAVDOC
Piramal Enterprises Ltd.,PEL
Power Finance Corporation Ltd.,PFC
Power Grid Corporation of India Ltd.,POWERGRID
Punj Lloyd Ltd.,PUNJLLOYD
Punjab National Bank,PNB
Rallis India Ltd.,RALLIS
Ranbaxy Laboratories Ltd.,RANBAXY
Raymond Ltd.,RAYMOND
Reliance Capital Ltd.,RELCAPITAL
Reliance Communications Ltd.,RCOM
Reliance Industries Ltd.,RELIANCE
Reliance Infrastructure Ltd.,RELINFRA
Reliance Power Ltd.,RPOWER
Ruchi Soya Industries Ltd.,RUCHISOYA
Rural Electrification Corporation Ltd.,RECLTD
Sesa Goa Ltd.,SESAGOA
Shipping Corporation of India Ltd.,SCI
Shree Cement Ltd.,SHREECEM
Shree Renuka Sugars Ltd.,RENUKA
Shriram Transport Finance Co. Ltd.,SRTRANSFIN
Siemens Ltd.,SIEMENS
Sintex Industries Ltd.,SINTEX
Sobha Developers Ltd.,SOBHA
South Indian Bank Ltd.,SOUTHBANK
State Bank of India,SBIN
Steel Authority of India Ltd.,SAIL
Strides Arcolab Ltd.,STAR
Sun Pharmaceutical Industries Ltd.,SUNPHARMA
Sun TV Network Ltd.,SUNTV
Suzlon Energy Ltd.,SUZLON
Syndicate Bank,SYNDIBANK
Tata Chemicals Ltd.,TATACHEM
Tata Communications Ltd.,TATACOMM
Tata Consultancy Services Ltd.,TCS
Tata Global Beverages Ltd.,TATAGLOBAL
Tata Motors Ltd.,TATAMOTORS
Tata Power Co. Ltd.,TATAPOWER
Tata Steel Ltd.,TATASTEEL
Tech Mahindra Ltd.,TECHM
Thermax Ltd.,THERMAX
Titan Industries Ltd.,TITAN
UCO Bank,UCOBANK
UltraTech Cement Ltd.,ULTRACEMCO
Union Bank of India,UNIONBANK
Unitech Ltd.,UNITECH
United Breweries Ltd.,UBL
United Phosphorus Ltd.,UNIPHOS
United Spirits Ltd.,MCDOWELL-N
Videocon Industries Ltd.,VIDEOIND
Vijaya Bank,VIJAYABANK
Voltas Ltd.,VOLTAS
Welspun Corp Ltd.,WELCORP
Wipro Ltd.,WIPRO
Yes Bank Ltd.,YESBANK
Zee Entertainment Enterprises Ltd.,ZEEL
